student_id,supervisor_id,institution,area,sent_at,outcome
106419,A5031856973,UNSW,PTSD,2026-07-12,ADMIT
106419,A5031856973,UNSW,PTSD,2026-08-01,INTERVIEW
106420,A5031856973,UNSW,PTSD,2026-07-15,POSITIVE_REPLY
106421,A5031856973,UNSW,PTSD,2026-07-20,ADMIT
106422,A2208157607,MIT,NLP,2026-06-10,POSITIVE_REPLY
106423,A2208157607,MIT,NLP,2026-06-15,INTERVIEW
106424,A2208157607,MIT,NLP,2026-06-20,NO_REPLY
106425,A2208157607,MIT,NLP,2026-06-25,REJECT
106426,A9876543210,Stanford,CV,2026-05-01,BOUNCE
106427,A9876543210,Stanford,CV,2026-05-05,WRONG_PERSON
106428,A9876543210,Stanford,CV,2026-05-10,WRONG_PERSON
106429,A9876543210,Stanford,CV,2026-05-15,WRONG_PERSON
106430,A1111111111,Oxford,AI,2026-04-01,NOT_RECRUITING
106431,A1111111111,Oxford,AI,2026-04-05,NOT_RECRUITING
106432,A2222222222,Cambridge,ML,2026-03-01,OUT_OF_OFFICE
106433,A2222222222,Cambridge,ML,2026-03-10,ADMIT
106434,A2222222222,Cambridge,ML,2026-03-20,POSITIVE_REPLY
